"Date","AQS_SITE_ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/12/2016","250030006","3","7.1","ug/m3 LC","30","1","100.0000","88101","PM2.5 - Local Conditions","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.4520173721286","-73.2550887606996"
"01/13/2016","250030006","3","-0.4","ug/m3 LC","0","1","100.0000","88101","PM2.5 - Local Conditions","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.4520173721286","-73.2550887606996"
"01/14/2016","250030006","3","7.3","ug/m3 LC","30","1","100.0000","88101","PM2.5 - Local Conditions","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.4520173721286","-73.2550887606996"
"01/15/2016","250030006","3","15","ug/m3 LC","57","1","100.0000","88101","PM2.5 - Local Conditions","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.4520173721286","-73.2550887606996"
"01/16/2016","250030006","3","5","ug/m3 LC","21","1","100.0000","88101","PM2.5 - Local Conditions","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.4520173721286","-73.2550887606996"
"01/17/2016","250030006","3","1.5","ug/m3 LC","6","1","100.0000","88101","PM2.5 - Local Conditions","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.4520173721286","-73.2550887606996"
"01/18/2016","250030006","3","-2.5","ug/m3 LC","0","1","100.0000","88101","PM2.5 - Local Conditions","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.4520173721286","-73.2550887606996"
"01/19/2016","250030006","3","2.2","ug/m3 LC","9","1","100.0000","88101","PM2.5 - Local Conditions","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.4520173721286","-73.2550887606996"
"01/20/2016","250030006","3","3.6","ug/m3 LC","15","1","100.0000","88101","PM2.5 - Local Conditions","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.4520173721286","-73.2550887606996"
"01/21/2016","250030006","3","-1.1","ug/m3 LC","0","1","100.0000","88101","PM2.5 - Local Conditions","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.4520173721286","-73.2550887606996"
"01/22/2016","250030006","3","3.6","ug/m3 LC","15","1","100.0000","88101","PM2.5 - Local Conditions","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.4520173721286","-73.2550887606996"
