"Date","AQS_SITE_ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"04/03/2016","260050003","1","4.9","ug/m3 LC","20","1","100.0000","88101","PM2.5 - Local Conditions","26090","Holland, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"04/06/2016","260050003","1","8.5","ug/m3 LC","35","1","100.0000","88101","PM2.5 - Local Conditions","26090","Holland, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"04/09/2016","260050003","1","2.3","ug/m3 LC","10","1","100.0000","88101","PM2.5 - Local Conditions","26090","Holland, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"04/12/2016","260050003","1","1.9","ug/m3 LC","8","1","100.0000","88101","PM2.5 - Local Conditions","26090","Holland, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"04/15/2016","260050003","1","8.3","ug/m3 LC","35","1","100.0000","88101","PM2.5 - Local Conditions","26090","Holland, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"04/18/2016","260050003","1","10.3","ug/m3 LC","43","1","100.0000","88101","PM2.5 - Local Conditions","26090","Holland, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"04/21/2016","260050003","1","8.1","ug/m3 LC","34","1","100.0000","88101","PM2.5 - Local Conditions","26090","Holland, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"04/24/2016","260050003","1","7.4","ug/m3 LC","31","1","100.0000","88101","PM2.5 - Local Conditions","26090","Holland, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"04/27/2016","260050003","1","3.8","ug/m3 LC","16","1","100.0000","88101","PM2.5 - Local Conditions","26090","Holland, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"04/30/2016","260050003","1","10.3","ug/m3 LC","43","1","100.0000","88101","PM2.5 - Local Conditions","26090","Holland, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"05/03/2016","260050003","1","3.7","ug/m3 LC","15","1","100.0000","88101","PM2.5 - Local Conditions","26090","Holland, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"05/06/2016","260050003","1","3.4","ug/m3 LC","14","1","100.0000","88101","PM2.5 - Local Conditions","26090","Holland, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"05/09/2016","260050003","1","9.8","ug/m3 LC","41","1","100.0000","88101","PM2.5 - Local Conditions","26090","Holland, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"05/12/2016","260050003","1","14.9","ug/m3 LC","57","1","100.0000","88101","PM2.5 - Local Conditions","26090","Holland, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"05/15/2016","260050003","1","1.8","ug/m3 LC","8","1","100.0000","88101","PM2.5 - Local Conditions","26090","Holland, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"05/18/2016","260050003","1","3.6","ug/m3 LC","15","1","100.0000","88101","PM2.5 - Local Conditions","26090","Holland, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"05/21/2016","260050003","1","9.9","ug/m3 LC","41","1","100.0000","88101","PM2.5 - Local Conditions","26090","Holland, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"05/24/2016","260050003","1","12.5","ug/m3 LC","52","1","100.0000","88101","PM2.5 - Local Conditions","26090","Holland, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"05/27/2016","260050003","1","7.8","ug/m3 LC","33","1","100.0000","88101","PM2.5 - Local Conditions","26090","Holland, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"05/30/2016","260050003","1","6.7","ug/m3 LC","28","1","100.0000","88101","PM2.5 - Local Conditions","26090","Holland, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"06/02/2016","260050003","1","4.3","ug/m3 LC","18","1","100.0000","88101","PM2.5 - Local Conditions","26090","Holland, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"06/05/2016","260050003","1","5","ug/m3 LC","21","1","100.0000","88101","PM2.5 - Local Conditions","26090","Holland, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"06/08/2016","260050003","1","2.2","ug/m3 LC","9","1","100.0000","88101","PM2.5 - Local Conditions","26090","Holland, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"06/11/2016","260050003","1","5.8","ug/m3 LC","24","1","100.0000","88101","PM2.5 - Local Conditions","26090","Holland, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"06/14/2016","260050003","1","7.3","ug/m3 LC","30","1","100.0000","88101","PM2.5 - Local Conditions","26090","Holland, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"06/17/2016","260050003","1","7.8","ug/m3 LC","33","1","100.0000","88101","PM2.5 - Local Conditions","26090","Holland, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"06/20/2016","260050003","1","11","ug/m3 LC","46","1","100.0000","88101","PM2.5 - Local Conditions","26090","Holland, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"06/23/2016","260050003","1","7","ug/m3 LC","29","1","100.0000","88101","PM2.5 - Local Conditions","26090","Holland, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"06/26/2016","260050003","1","7.3","ug/m3 LC","30","1","100.0000","88101","PM2.5 - Local Conditions","26090","Holland, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"06/29/2016","260050003","1","2.5","ug/m3 LC","10","1","100.0000","88101","PM2.5 - Local Conditions","26090","Holland, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"07/02/2016","260050003","1","3.4","ug/m3 LC","14","1","100.0000","88101","PM2.5 - Local Conditions","26090","Holland, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"07/05/2016","260050003","1","8.8","ug/m3 LC","37","1","100.0000","88101","PM2.5 - Local Conditions","26090","Holland, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"07/08/2016","260050003","1","6.3","ug/m3 LC","26","1","100.0000","88101","PM2.5 - Local Conditions","26090","Holland, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"07/11/2016","260050003","1","9.5","ug/m3 LC","40","1","100.0000","88101","PM2.5 - Local Conditions","26090","Holland, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"07/14/2016","260050003","1","5.3","ug/m3 LC","22","1","100.0000","88101","PM2.5 - Local Conditions","26090","Holland, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"07/17/2016","260050003","1","6.2","ug/m3 LC","26","1","100.0000","88101","PM2.5 - Local Conditions","26090","Holland, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"07/20/2016","260050003","1","11.3","ug/m3 LC","47","1","100.0000","88101","PM2.5 - Local Conditions","26090","Holland, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"07/23/2016","260050003","1","8.6","ug/m3 LC","36","1","100.0000","88101","PM2.5 - Local Conditions","26090","Holland, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"07/26/2016","260050003","1","6.6","ug/m3 LC","28","1","100.0000","88101","PM2.5 - Local Conditions","26090","Holland, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"07/29/2016","260050003","1","5.5","ug/m3 LC","23","1","100.0000","88101","PM2.5 - Local Conditions","26090","Holland, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"08/01/2016","260050003","1","6.1","ug/m3 LC","25","1","100.0000","88101","PM2.5 - Local Conditions","26090","Holland, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"08/04/2016","260050003","1","10.3","ug/m3 LC","43","1","100.0000","88101","PM2.5 - Local Conditions","26090","Holland, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"08/07/2016","260050003","1","3.8","ug/m3 LC","16","1","100.0000","88101","PM2.5 - Local Conditions","26090","Holland, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"08/10/2016","260050003","1","10.7","ug/m3 LC","45","1","100.0000","88101","PM2.5 - Local Conditions","26090","Holland, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"08/13/2016","260050003","1","3.6","ug/m3 LC","15","1","100.0000","88101","PM2.5 - Local Conditions","26090","Holland, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"08/16/2016","260050003","1","4.3","ug/m3 LC","18","1","100.0000","88101","PM2.5 - Local Conditions","26090","Holland, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"08/19/2016","260050003","1","5.6","ug/m3 LC","23","1","100.0000","88101","PM2.5 - Local Conditions","26090","Holland, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"08/22/2016","260050003","1","2.8","ug/m3 LC","12","1","100.0000","88101","PM2.5 - Local Conditions","26090","Holland, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"08/25/2016","260050003","1","5.8","ug/m3 LC","24","1","100.0000","88101","PM2.5 - Local Conditions","26090","Holland, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"08/28/2016","260050003","1","5.3","ug/m3 LC","22","1","100.0000","88101","PM2.5 - Local Conditions","26090","Holland, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"08/31/2016","260050003","1","3.8","ug/m3 LC","16","1","100.0000","88101","PM2.5 - Local Conditions","26090","Holland, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"09/03/2016","260050003","1","6.5","ug/m3 LC","27","1","100.0000","88101","PM2.5 - Local Conditions","26090","Holland, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"09/06/2016","260050003","1","11.2","ug/m3 LC","47","1","100.0000","88101","PM2.5 - Local Conditions","26090","Holland, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"09/09/2016","260050003","1","7.7","ug/m3 LC","32","1","100.0000","88101","PM2.5 - Local Conditions","26090","Holland, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"09/12/2016","260050003","1","4","ug/m3 LC","17","1","100.0000","88101","PM2.5 - Local Conditions","26090","Holland, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"09/15/2016","260050003","1","4.1","ug/m3 LC","17","1","100.0000","88101","PM2.5 - Local Conditions","26090","Holland, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"09/18/2016","260050003","1","3.8","ug/m3 LC","16","1","100.0000","88101","PM2.5 - Local Conditions","26090","Holland, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"09/21/2016","260050003","1","5.8","ug/m3 LC","24","1","100.0000","88101","PM2.5 - Local Conditions","26090","Holland, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"09/24/2016","260050003","1","3.4","ug/m3 LC","14","1","100.0000","88101","PM2.5 - Local Conditions","26090","Holland, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"09/27/2016","260050003","1","2.1","ug/m3 LC","9","1","100.0000","88101","PM2.5 - Local Conditions","26090","Holland, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"09/30/2016","260050003","1","2.1","ug/m3 LC","9","1","100.0000","88101","PM2.5 - Local Conditions","26090","Holland, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"10/03/2016","260050003","1","5.1","ug/m3 LC","21","1","100.0000","88101","PM2.5 - Local Conditions","26090","Holland, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"10/06/2016","260050003","1","12","ug/m3 LC","50","1","100.0000","88101","PM2.5 - Local Conditions","26090","Holland, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"10/09/2016","260050003","1","4.3","ug/m3 LC","18","1","100.0000","88101","PM2.5 - Local Conditions","26090","Holland, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
